Resource Name,Short Names,API Group,Namespaced,Resource Kind
componentstatuses,cs,,FALSE,ComponentStatus
configmaps,cm,,TRUE,ConfigMap
endpoints,ep,,TRUE,Endpoints
limitranges,limits,,TRUE,LimitRange
namespaces,ns,,FALSE,Namespace
nodes,no,,FALSE,Node
persistentvolumeclaims,pvc,,TRUE,PersistentVolumeClaim
persistentvolumes,pv,,FALSE,PersistentVolume
pods,po,,TRUE,Pod
podtemplates,,,TRUE,PodTemplate
replicationcontrollers,rc,,TRUE,ReplicationController
resourcequotas,quota,,TRUE,ResourceQuota
secrets,,,TRUE,Secret
serviceaccounts,sa,,TRUE,ServiceAccount
services,svc,,TRUE,Service
mutatingwebhookconfigurations,,admissionregistration.k8s.io,FALSE,MutatingWebhookConfiguration
validatingwebhookconfigurations,,admissionregistration.k8s.io,FALSE,ValidatingWebhookConfiguration
customresourcedefinitions,crd,apiextensions.k8s.io,FALSE,CustomResourceDefinition
apiservices,,apiregistration.k8s.io,FALSE,APIService
controllerrevisions,,apps,TRUE,ControllerRevision
daemonsets,ds,apps,TRUE,DaemonSet
deployments,deploy,apps,TRUE,Deployment
replicasets,rs,apps,TRUE,ReplicaSet
statefulsets,sts,apps,TRUE,StatefulSet
tokenreviews,,authentication.k8s.io,FALSE,TokenReview
localsubjectaccessreviews,,authorization.k8s.io,TRUE,LocalSubjectAccessReview
selfsubjectaccessreviews,,authorization.k8s.io,FALSE,SelfSubjectAccessReview
selfsubjectrulesreviews,,authorization.k8s.io,FALSE,SelfSubjectRulesReview
subjectaccessreviews,,authorization.k8s.io,FALSE,SubjectAccessReview
horizontalpodautoscalers,hpa,autoscaling,TRUE,HorizontalPodAutoscaler
cronjobs,cj,batch,TRUE,CronJob
jobs,,batch,TRUE,Job
certificatesigningrequests,csr,certificates.k8s.io,FALSE,CertificateSigningRequest
leases,,coordination.k8s.io,TRUE,Lease
events,ev,events.k8s.io,TRUE,Event
ingresses,ing,extensions,TRUE,Ingress
networkpolicies,netpol,networking.k8s.io,TRUE,NetworkPolicy
poddisruptionbudgets,pdb,policy,TRUE,PodDisruptionBudget
podsecuritypolicies,psp,policy,FALSE,PodSecurityPolicy
clusterrolebindings,,rbac.authorization.k8s.io,FALSE,ClusterRoleBinding
clusterroles,,rbac.authorization.k8s.io,FALSE,ClusterRole
rolebindings,,rbac.authorization.k8s.io,TRUE,RoleBinding
roles,,rbac.authorization.k8s.io,TRUE,Role
priorityclasses,pc,scheduling.k8s.io,FALSE,PriorityClass
storageclasses,sc,storage.k8s.io,FALSE,StorageClass
volumeattachments,,storage.k8s.io,FALSE,VolumeAttachment